<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20191121;0;214.98;2985390
SBERP;D;20191122;0;216.16;3106720
SBERP;D;20191125;0;216.66;2543620
SBERP;D;20191126;0;215.4;4284680
SBERP;D;20191127;0;213.29;3445580
SBERP;D;20191128;0;213.54;2342760
SBERP;D;20191129;0;212.5;2702870
SBERP;D;20191202;0;213.35;2493430
SBERP;D;20191203;0;211.76;3229860
SBERP;D;20191204;0;212.89;3588570
SBERP;D;20191205;0;211.23;4474850
SBERP;D;20191206;0;214;1838830
SBERP;D;20191209;0;215.5;2640010
SBERP;D;20191210;0;215.52;3533030
SBERP;D;20191211;0;216.65;3554930
SBERP;D;20191212;0;216.78;3325920
SBERP;D;20191213;0;217;4307550
SBERP;D;20191216;0;218.7;4508530
SBERP;D;20191217;0;219.2;3097290
SBERP;D;20191218;0;221.45;5501930
SBERP;D;20191219;0;221.08;5381500
SBERP;D;20191220;0;221.57;1889210
SBERP;D;20191223;0;223.27;3130630
SBERP;D;20191224;0;224.99;3152150
SBERP;D;20191225;0;225.98;1947260
SBERP;D;20191226;0;224.93;1784540
SBERP;D;20191227;0;226.4;2278340
SBERP;D;20191230;0;228.3;4548220
SBERP;D;20200103;0;226.4;4466440
SBERP;D;20200106;0;225.95;3011720
SBERP;D;20200108;0;230.38;5582050
SBERP;D;20200109;0;231;5734960
SBERP;D;20200110;0;232;3025720
SBERP;D;20200113;0;234.95;2742150
SBERP;D;20200114;0;232.2;5506940
SBERP;D;20200115;0;230.16;6237560
SBERP;D;20200116;0;230.99;3820910
SBERP;D;20200117;0;234.57;5896240
SBERP;D;20200120;0;238.5;5274470
SBERP;D;20200121;0;238.4;4502990
SBERP;D;20200122;0;236.5;5470170
SBERP;D;20200123;0;233.77;6375660
SBERP;D;20200124;0;234.61;3728700
SBERP;D;20200127;0;228.51;8095650
SBERP;D;20200128;0;229.86;4888160
SBERP;D;20200129;0;231.39;4032420
SBERP;D;20200130;0;229.63;3546030
SBERP;D;20200131;0;227.1;5431170
SBERP;D;20200203;0;225.6;5983660
SBERP;D;20200204;0;226.9;5544120
SBERP;D;20200205;0;229.4;6722520
SBERP;D;20200206;0;229.54;5867270
SBERP;D;20200207;0;231.08;5693040
SBERP;D;20200210;0;231.8;6973570
SBERP;D;20200211;0;237;14049910
SBERP;D;20200212;0;235.6;10424310
SBERP;D;20200213;0;236.3;4707210
SBERP;D;20200214;0;232.87;5259360
SBERP;D;20200217;0;231.47;4746560
SBERP;D;20200218;0;228.14;8906080
SBERP;D;20200219;0;229.53;5479640
SBERP;D;20200220;0;229.9;3864760
SBERP;D;20200221;0;230.91;3911240
SBERP;D;20200225;0;227.5;5090590
SBERP;D;20200226;0;229.08;7642510
SBERP;D;20200227;0;222;10881110
SBERP;D;20200228;0;215.15;17435390
SBERP;D;20200302;0;216.96;13063320
SBERP;D;20200303;0;222.4;7755980
SBERP;D;20200304;0;222;6426750
SBERP;D;20200305;0;220;5813720
SBERP;D;20200306;0;210.01;13401460
SBERP;D;20200310;0;193.18;32740440
SBERP;D;20200311;0;188.8;15835790
SBERP;D;20200312;0;171.37;19344260
SBERP;D;20200313;0;185.85;20524680
SBERP;D;20200316;0;177;24635960
SBERP;D;20200317;0;172.46;17056540
SBERP;D;20200318;0;162;21869750
SBERP;D;20200319;0;172.95;29574280
SBERP;D;20200320;0;180.9;20882540
SBERP;D;20200323;0;174.2;12858880
SBERP;D;20200324;0;181.1;10657750
SBERP;D;20200325;0;177.01;21354870
SBERP;D;20200326;0;179.1;10210320
SBERP;D;20200327;0;173;10854560
SBERP;D;20200330;0;173.75;13368470
SBERP;D;20200331;0;176.83;14507130
SBERP;D;20200401;0;174.1;13307250
SBERP;D;20200402;0;174.34;24532310
SBERP;D;20200403;0;175.5;12353520
SBERP;D;20200406;0;179.88;14949250
SBERP;D;20200407;0;183.74;18616080
SBERP;D;20200408;0;185.17;11858820
SBERP;D;20200409;0;186.6;14387500
SBERP;D;20200410;0;185.34;5310570
SBERP;D;20200413;0;181.4;8950560
SBERP;D;20200414;0;180.36;8071430
SBERP;D;20200415;0;172;15126540
SBERP;D;20200416;0;172.16;17503950
SBERP;D;20200417;0;174.1;11869230
SBERP;D;20200420;0;171.37;10158240
SBERP;D;20200421;0;167.65;19028750
SBERP;D;20200422;0;171.9;10444620
SBERP;D;20200423;0;172.64;7942090
SBERP;D;20200424;0;171.46;5586490
SBERP;D;20200427;0;172.43;4107940
SBERP;D;20200428;0;176.12;10493770
SBERP;D;20200429;0;177.5;7335870
SBERP;D;20200430;0;177.2;10121070
SBERP;D;20200504;0;176.34;4944790
SBERP;D;20200505;0;178.49;5642860
SBERP;D;20200506;0;181;8312110
SBERP;D;20200507;0;180.02;7941590
SBERP;D;20200508;0;179.79;7349970
SBERP;D;20200512;0;177.9;9951030
SBERP;D;20200513;0;174.62;8570340
SBERP;D;20200514;0;172.63;10163460
SBERP;D;20200515;0;172.28;7363830
SBERP;D;20200518;0;177.14;11091680
SBERP;D;20200519;0;174.59;24570850
SBERP;D;20200520;0;177.88;15205760
SBERP;D;20200521;0;176.79;10441390
SBERP;D;20200522;0;176.66;5389680
SBERP;D;20200525;0;176.8;8063290
SBERP;D;20200526;0;177.22;12110430
SBERP;D;20200527;0;178.8;13694270
SBERP;D;20200528;0;185.5;20657370
SBERP;D;20200529;0;181.6;12453340
SBERP;D;20200601;0;184;6679080
SBERP;D;20200602;0;192.5;16654080
SBERP;D;20200603;0;198.99;19504840
SBERP;D;20200604;0;193.1;12112090
SBERP;D;20200605;0;200.3;10591890
SBERP;D;20200608;0;200.5;10393100
SBERP;D;20200609;0;198.45;7954820
SBERP;D;20200610;0;195.85;5692680
SBERP;D;20200611;0;191.4;7673910
SBERP;D;20200615;0;191;6867720
SBERP;D;20200616;0;193.2;6478970
SBERP;D;20200617;0;191.29;5579430
SBERP;D;20200618;0;189.8;5770440
SBERP;D;20200619;0;191.09;5343300
SBERP;D;20200622;0;191.01;5311630
SBERP;D;20200623;0;190.5;6162690
SBERP;D;20200625;0;190;7405020
SBERP;D;20200626;0;187.6;6436340
SBERP;D;20200629;0;190.6;6132470
SBERP;D;20200630;0;188.76;6006760
SBERP;D;20200702;0;192.6;6385160
SBERP;D;20200703;0;193.47;5852550
SBERP;D;20200706;0;196.91;5962220
SBERP;D;20200707;0;193.25;7399870
SBERP;D;20200708;0;193.48;6691140
SBERP;D;20200709;0;192.46;6248350
SBERP;D;20200710;0;193.49;5600580
SBERP;D;20200713;0;190.87;6263370
SBERP;D;20200714;0;192.17;5073280
SBERP;D;20200715;0;193.21;4432050
SBERP;D;20200716;0;193.86;3133040
SBERP;D;20200717;0;195.19;4467360
SBERP;D;20200720;0;197.74;6690790
SBERP;D;20200721;0;198.35;8565570
SBERP;D;20200722;0;199.36;4687890
SBERP;D;20200723;0;198.4;4296110
SBERP;D;20200724;0;199;3876020
SBERP;D;20200727;0;201.29;5224020
SBERP;D;20200728;0;200.47;3776250
SBERP;D;20200729;0;202.87;5695890
SBERP;D;20200730;0;203.33;8837850
SBERP;D;20200731;0;205.47;8752510
